houses_link	review_link	author	message
Танеево парк	Отзывы	Ирина Дроздова	Задумка была шикарная, а исполнение как всегда. Дом с панорамными окнами, подземный паркингом, частным детским садом. Стоимость квадратного метра завышена. Собственники купили квартиры, а ремонт делать не собираются, тепловой контур дырявый, крышная котельная справляется с трудом. Управляющая компания вроде старается поддерживать чистоту и порядок, но человеческий фактор ведёт себя не предсказуемо, то судиться хотят, то как будто всех все устраивает. Какой то хаос в умах людей. Хотя все люди по отдельности приличные  и даже иногда сознательность проявляют.
Танеево парк	Отзывы	Mila	Сами жилые дома красивые! Только вокруг море машин стоящих где хотят нет хороших чищенных дорожек для пешеходов.кругом горы снега игрязи. И это и зимой илетом
Танеево парк	Отзывы	Ярослав	Красивый современный ЖК , удобное расположение и красивый вид.
Танеево парк	Отзывы	Андрей Б.	Управляшка  отличная  !!! Заботиться о жителях, прислушиваться к пожеланиям жильцов  !! Спасибо им, за их  добросовестную работу  !!!!!
Танеево парк	Отзывы	Анна Назарова	"Красота в центре города, хотя очень уютно и уединенно 
Виды просто бомба"
Танеево парк	Отзывы	Костя Каменский	Выезжают только на том, что прекрасное место. Качество сборки можно бы было сделать и лучше, раз уж обозвались элиткой. Считаю цена завышена, особенно за паркинг под домом.
Танеево парк	Отзывы	Цынкалов Роман	"Шикарный вид на с восточной стороны дома 3 корпуса. Очень удобное расположение.

Управляющая компания дома оказывает ужасный сервис."
Танеево парк	Отзывы	Сергей Крюков	"Парковка подземная,что очень удобно. Но сама территория небольшая. Место очень удобно расположено. До центра-2 остановки на общественном транспорте. Цены на квартиры-""космические"""
Танеево парк	Отзывы	Оксана Лозина	Новый дома всегда есть свои нюансы. Тропинка в зимнее время до самих домов это ещё тот квест, особенно для тех кто с колясками, но на самой территории домов часто расчищает спецтранспорт о чем предварительно оповещают владельцев автомобилей.
Танеево парк	Отзывы	Виталий О.	Дома сделаны отвратительно. Они новые, но уже все сыпятся.
Танеево парк	Отзывы	алла журбенко	Говорю только о коммерческих помещениях.Кругом мусор,ветер постоянный который носит его. К коммерческим помещениям не подъехать и не подобраться. Дикий ужас.
Танеево парк	Отзывы	Ольга Жукова	"В этом ЖК радует только месторасположение. 
Современное строительство вообще оставляет желать лучшего: всё делали тяп-ляп, как будто на скорость, лишь бы не срывать сроки сдачи. 
Детская площадка никакущая: на такое количество квартир всего две горки, две карусели, мизерная песочница (без песка)."
Танеево парк	Отзывы	Оксана Китаева	Удобное расположение, красивый вид из окон. Чистый  и ухоженный двор.
Танеево парк	Отзывы	Маргарита С.	Интересная планировка квартир. Легкая доступность остановки и магазинов.
Танеево парк	Отзывы	Юлия Ладожина	Приезжаю в стоматологию Мандарин,они теперь там находятся и на автомойку. Оттуда красивый вид,думаю жителям этого дома с этим повезло))
Танеево парк	Отзывы	Алексей Ткачук	Прекрасный жилой комплекс. Чистота и порядок. Жить да радоваться.
Танеево парк	Отзывы	Ольга	Красивые новые дома с хорошим видом. Закрытая территория, классные просторные квартиры. Лифты с музыкой, все чистенько
Танеево парк	Отзывы	Анна Пивоварова	Хороший ЖК в центре города.
Танеево парк	Отзывы	lucho3606	"Прекрасный вид из некоторых окон домов.
«Я буду здесь жить!»"
Танеево парк	Отзывы	Александр Антонов	Красивые дома в самом центре города, хорошая детская площадка, присутствует паркинг. Но есть и минусы: злые соседи, картонные стены и еще было бы хорошо, если бы паркинг был бесплатный
